Date;High price;Low price;Closing price;Average price;Total volume;Turnover;
2019-02-27;109.00;108.13;108.13;108.63;417;45.299;
2019-02-26;110.18;109.15;109.27;110.00;550;60.502;
2019-02-25;;;110.79;;;;
2019-02-22;110.79;110.08;110.79;110.45;485;53.570;
2019-02-21;111.04;110.30;110.44;110.52;1.500;165.787;
2019-02-20;111.55;111.18;111.42;111.40;829;92.349;
2019-02-19;110.75;110.02;110.59;110.45;967;106.801;
2019-02-18;108.90;108.77;108.90;108.85;266;28.955;
2019-02-15;;;107.24;;;;
2019-02-14;107.24;107.06;107.24;107.19;150;16.078;
2019-02-13;108.49;108.07;108.07;108.45;102;11.062;
2019-02-12;109.28;108.59;108.59;108.86;802;87.303;
2019-02-11;108.81;108.56;108.56;108.76;3.750;407.850;
2019-02-08;109.23;108.68;108.68;108.74;3.500;380.583;
2019-02-07;108.26;107.74;108.10;108.09;443;47.885;
2019-02-06;107.76;107.43;107.43;107.73;719;77.460;
2019-02-05;107.88;107.82;107.82;107.87;80;8.629;
2019-02-04;107.80;106.75;107.78;107.19;1.745;187.053;
2019-02-01;108.01;107.67;107.67;107.70;2.220;239.092;
2019-01-31;108.78;108.03;108.75;108.36;2.010;217.806;
2019-01-30;108.00;107.58;107.84;107.70;760;81.851;
2019-01-29;107.32;106.99;107.18;107.04;1.153;123.414;
2019-01-28;106.50;106.05;106.18;106.18;2.921;310.154;
2019-01-25;105.63;104.30;105.63;105.09;429;45.082;
2019-01-24;103.15;102.90;102.90;102.92;110;11.322;
2019-01-23;103.67;103.67;103.67;103.67;12;1.244;
2019-01-22;102.95;102.78;102.78;102.91;928;95.502;
2019-01-21;102.84;102.36;102.82;102.49;1.573;161.212;
2019-01-18;;;104.60;;;;
2019-01-17;104.63;104.60;104.60;104.62;50;5.231;
2019-01-16;104.57;104.40;104.40;104.51;30;3.135;
2019-01-15;104.69;104.40;104.66;104.56;110;11.501;
2019-01-14;104.53;104.19;104.40;104.21;1.108;115.460;
2019-01-11;;;104.30;;;;
2019-01-10;104.43;104.30;104.30;104.36;21;2.192;
2019-01-09;;;104.51;;;;
2019-01-08;104.51;103.72;104.51;104.02;135;14.043;
2019-01-07;105.49;104.64;104.64;104.71;750;78.530;
2019-01-04;106.18;105.11;105.11;105.57;2.442;257.798;
2019-01-03;105.81;105.29;105.29;105.75;571;60.385;
2019-01-02;104.37;103.64;104.37;104.21;60;6.252;
2018-12-28;102.93;102.60;102.93;102.69;989;101.557;
2018-12-27;102.17;101.91;101.91;101.92;720;73.380;
2018-12-21;98.69;98.69;98.69;98.69;11;1.086;
2018-12-20;99.42;99.40;99.40;99.40;215;21.371;
2018-12-19;100.00;99.70;100.00;99.70;3.377;336.690;
2018-12-18;;;99.28;;;;
2018-12-17;99.46;99.23;99.28;99.29;550;54.612;
2018-12-14;100.00;98.89;98.89;99.92;4.043;403.989;
2018-12-13;100.42;99.90;100.10;100.18;7.513;752.664;
2018-12-12;100.58;100.48;100.58;100.52;1.160;116.607;
2018-12-11;99.55;99.55;99.55;99.55;11;1.095;
2018-12-10;99.15;98.89;99.15;98.91;761;75.269;
2018-12-07;97.56;97.56;97.56;97.56;175;17.073;
2018-12-06;97.45;97.26;97.45;97.40;1.215;118.335;
2018-12-05;97.60;97.60;97.60;97.60;370;36.112;
2018-12-04;98.65;98.05;98.65;98.54;2.011;198.159;
2018-12-03;;;96.79;;;;
2018-11-30;97.44;96.79;96.79;96.99;1.130;109.602;
2018-11-29;97.50;97.50;97.50;97.50;15;1.463;
2018-11-28;96.76;96.76;96.76;96.76;11;1.064;
2018-11-27;97.22;97.22;97.22;97.22;199;19.347;
2018-11-26;97.53;97.47;97.53;97.49;80;7.799;
2018-11-23;97.70;97.33;97.33;97.52;100;9.752;
2018-11-22;98.77;98.77;98.77;98.77;26;2.568;
2018-11-21;98.46;98.46;98.46;98.46;400;39.384;
2018-11-20;;;97.44;;;;
2018-11-19;97.44;97.44;97.44;97.44;400;38.976;
2018-11-16;97.45;97.38;97.38;97.41;110;10.715;
2018-11-15;96.64;96.64;96.64;96.64;12;1.160;
2018-11-14;95.48;95.48;95.48;95.48;200;19.096;
2018-11-13;95.90;95.54;95.71;95.73;87;8.328;
2018-11-12;97.09;97.01;97.09;97.06;28;2.718;
2018-11-09;96.38;96.29;96.38;96.34;36;3.468;
2018-11-08;;;100.20;;;;
2018-11-07;;;100.20;;;;
2018-11-06;100.20;100.20;100.20;100.20;49;4.910;
2018-11-05;100.95;100.95;100.95;100.95;250;25.238;
2018-11-02;;;101.36;;;;
2018-11-01;;;101.36;;;;
2018-10-31;;;101.36;;;;
2018-10-30;;;101.36;;;;
2018-10-29;101.36;100.75;101.36;100.83;120;12.100;
2018-10-26;101.76;100.76;101.76;101.32;1.260;127.662;
2018-10-25;101.40;101.16;101.40;101.27;72;7.291;
2018-10-24;100.91;100.91;100.91;100.91;300;30.273;
2018-10-23;101.08;100.87;101.08;101.07;321;32.442;
2018-10-22;99.00;99.00;99.00;99.00;100;9.900;
2018-10-19;99.77;99.56;99.77;99.62;1.000;99.623;
2018-10-18;;;98.88;;;;
2018-10-17;98.88;98.52;98.88;98.65;31;3.058;
2018-10-16;;;99.78;;;;
2018-10-15;99.78;99.54;99.78;99.67;160;15.946;
2018-10-12;99.29;99.21;99.29;99.23;180;17.862;
2018-10-11;99.10;97.74;99.10;98.79;1.313;129.714;
2018-10-10;99.02;99.02;99.02;99.02;20;1.980;
2018-10-09;98.94;98.94;98.94;98.94;50;4.947;
2018-10-08;;;100.42;;;;
2018-10-05;100.50;99.45;100.42;100.30;95;9.529;
2018-10-04;99.81;99.81;99.81;99.81;100;9.981;
2018-10-03;100.34;100.34;100.34;100.34;19;1.906;
